"natmass","age","sex","sei10","region","polviews","age_cent","obs_num","About right.x","Too little.x","Too much.x","preds","About right.y","Too little.y","Too much.y"
"About right",23,"Female",21.6,"Middle atlantic","Slightly liberal",-26,20,0.349655802005881,-0.298870385339183,-0.0507854166666982,"About right",0.650344197994119,0.298870385339183,0.0507854166666982
"Too much",37,"Female",66.2,"Middle atlantic","Extrmly conservative",-12,21,-0.75339214395168,-0.180209431943294,0.933601575894974,"About right",0.75339214395168,0.180209431943294,0.0663984241050263
"About right",25,"Female",14.8,"Middle atlantic","Liberal",-24,22,0.426425552164304,-0.375086411658529,-0.0513391405057756,"About right",0.573574447835696,0.375086411658529,0.0513391405057756
"Too little",71,"Male",82.5,"Middle atlantic","Liberal",22,23,-0.331809451588882,0.381745128632422,-0.0499356770435406,"Too little",0.331809451588882,0.618254871367578,0.0499356770435406
"About right",22,"Male",39.9,"Middle atlantic","Moderate",-27,24,0.359773898400335,-0.290267252652445,-0.0695066457478899,"About right",0.640226101599665,0.290267252652445,0.0695066457478899
"About right",74,"Male",82.5,"Middle atlantic","Moderate",25,25,0.507444445380472,-0.433783857271651,-0.0736605881088209,"About right",0.492555554619528,0.433783857271651,0.0736605881088209
"Too little",75,"Female",37.6,"Middle atlantic","Conservative",26,26,-0.610124434779211,0.764511647295889,-0.154387212516678,"About right",0.610124434779211,0.235488352704111,0.154387212516678
"About right",32,"Male",20.7,"Middle atlantic","Liberal",-17,27,0.512004489472236,-0.434276531214919,-0.0777279582573178,"About right",0.487995510527764,0.434276531214919,0.0777279582573178
"About right",68,"Female",46.7,"Middle atlantic","Moderate",19,28,0.385098337112649,-0.314520655054492,-0.0705776820581574,"About right",0.614901662887351,0.314520655054492,0.0705776820581574
"About right",55,"Male",65.3,"Middle atlantic","Slghtly conservative",6,29,0.468369892200107,-0.373390651920432,-0.0949792402796749,"About right",0.531630107799893,0.373390651920432,0.0949792402796749
"About right",46,"Male",65.3,"Middle atlantic","Slghtly conservative",-3,30,0.451024855823862,-0.364797167337018,-0.0862276884868436,"About right",0.548975144176138,0.364797167337018,0.0862276884868436
"About right",58,"Female",80.9,"Middle atlantic","Moderate",9,31,0.413388536351185,-0.371861929040847,-0.0415266073103378,"About right",0.586611463648815,0.371861929040847,0.0415266073103378
"About right",35,"Male",52.5,"Middle atlantic","Conservative",-14,32,0.387675913920366,-0.258986435843389,-0.128689478076977,"About right",0.612324086079634,0.258986435843389,0.128689478076977
"About right",59,"Male",26.1,"Middle atlantic","Conservative",10,33,0.438649289562027,-0.222387557482308,-0.216261732079719,"About right",0.561350710437973,0.222387557482308,0.216261732079719
"About right",58,"Female",83.8,"Middle atlantic","Conservative",9,34,0.386536264557123,-0.309666117696945,-0.076870146860178,"About right",0.613463735442877,0.309666117696945,0.076870146860178
"About right",79,"Female",38.3,"Middle atlantic","Moderate",30,35,0.396676838095295,-0.308561141979459,-0.0881156961158364,"About right",0.603323161904705,0.308561141979459,0.0881156961158364
"Too much",40,"Female",39.7,"Middle atlantic","Extrmly conservative",-9,36,-0.759607087244751,-0.149433091678222,0.909040178922972,"About right",0.759607087244751,0.149433091678222,0.090959821077028
"About right",44,"Female",21.8,"Middle atlantic","Moderate",-5,37,0.317501952410338,-0.246315110563675,-0.0711868418466626,"About right",0.682498047589662,0.246315110563675,0.0711868418466626
"Too little",68,"Female",35.8,"Middle atlantic","Moderate",19,38,-0.626436054216928,0.706572002602504,-0.0801359483855753,"About right",0.626436054216928,0.293427997397496,0.0801359483855753
"Too little",36,"Female",82.7,"Middle atlantic","Liberal",-13,39,-0.441701410332375,0.465252269371332,-0.0235508590389577,"Too little",0.441701410332375,0.534747730628668,0.0235508590389577
"About right",70,"Male",24.2,"Middle atlantic","Moderate",21,40,0.440996043328822,-0.300002203124221,-0.140993840204601,"About right",0.559003956671178,0.300002203124221,0.140993840204601
"About right",28,"Male",83.4,"Middle atlantic","Extremely liberal",-21,41,0.656787244596609,-0.604813882483214,-0.0519733621133945,"Too little",0.343212755403391,0.604813882483214,0.0519733621133945
"About right",35,"Female",80.2,"Middle atlantic","Liberal",-14,42,0.552185736163961,-0.528055464941065,-0.0241302712228963,"Too little",0.447814263836039,0.528055464941065,0.0241302712228963
"Too little",33,"Male",86.8,"Middle atlantic","Extremely liberal",-16,43,-0.330566468802888,0.382548995346849,-0.0519825265439611,"Too little",0.330566468802888,0.617451004653151,0.0519825265439611
"Too little",23,"Male",0,"Middle atlantic","Slightly liberal",-26,44,-0.607893704282823,0.70836246911686,-0.100468764834037,"About right",0.607893704282823,0.29163753088314,0.100468764834037
"Too little",47,"Female",91.1,"Middle atlantic","Extremely liberal",-2,45,-0.356654685283497,0.39511128109288,-0.0384565958093838,"Too little",0.356654685283497,0.60488871890712,0.0384565958093838
"Too little",25,"Female",43,"Middle atlantic","Liberal",-24,46,-0.529448662612408,0.565246459002014,-0.0357977963896057,"About right",0.529448662612408,0.434753540997986,0.0357977963896057
"Too much",70,"Female",24.6,"Middle atlantic","Extremely liberal",21,47,-0.411094803687152,-0.469542105630837,0.880636909317989,"Too little",0.411094803687152,0.469542105630837,0.119363090682011
"About right",20,"Male",36.8,"Middle atlantic","Slghtly conservative",-29,48,0.372499765152301,-0.282286779806719,-0.090212985345582,"About right",0.627500234847699,0.282286779806719,0.090212985345582
"Too much",41,"Male",91.1,"Middle atlantic","Moderate",-8,49,-0.538759826045572,-0.415112251989078,0.95387207803465,"About right",0.538759826045572,0.415112251989078,0.0461279219653497
"About right",53,"Female",55.3,"Middle atlantic","Conservative",4,50,0.352233217773618,-0.251901003590859,-0.100332214182759,"About right",0.647766782226382,0.251901003590859,0.100332214182759
"About right",42,"Female",20.1,"Middle atlantic","Extremely liberal",-7,51,0.530624623871337,-0.435147424723424,-0.0954771991479133,"About right",0.469375376128663,0.435147424723424,0.0954771991479133
"About right",40,"Female",41.1,"Middle atlantic","Moderate",-9,52,0.330115886676732,-0.275657497195428,-0.0544583894813036,"About right",0.669884113323268,0.275657497195428,0.0544583894813036
"Too little",57,"Female",39.7,"Middle atlantic","Slightly liberal",8,53,-0.567617498267458,0.627836071406713,-0.0602185731392547,"About right",0.567617498267458,0.372163928593287,0.0602185731392547
"About right",59,"Female",84.5,"Middle atlantic","Liberal",10,54,0.59806135285523,-0.568807627367743,-0.0292537254874868,"Too little",0.40193864714477,0.568807627367743,0.0292537254874868
"Too little",35,"Female",21.6,"Middle atlantic","Slghtly conservative",-14,55,-0.679104025174992,0.761550352256168,-0.0824463270811757,"About right",0.679104025174992,0.238449647743832,0.0824463270811757
"About right",26,"Male",29.5,"Middle atlantic","Moderate",-23,56,0.356809133330428,-0.274808486847734,-0.0820006464826939,"About right",0.643190866669572,0.274808486847734,0.0820006464826939
"About right",35,"Male",39.9,"Middle atlantic","Conservative",-14,57,0.382821045812787,-0.235791078990946,-0.147029966821841,"About right",0.617178954187213,0.235791078990946,0.147029966821841
"Too much",51,"Female",0,"Middle atlantic","Moderate",2,58,-0.685310963939292,-0.216545638959146,0.901856602898437,"About right",0.685310963939292,0.216545638959146,0.0981433971015625
"Too little",39,"Female",34.7,"Middle atlantic","Slightly liberal",-10,59,-0.60610869742591,0.658345369302619,-0.0522366718767086,"About right",0.60610869742591,0.341654630697381,0.0522366718767086
"Too much",27,"Female",0,"Middle atlantic","Moderate",-22,60,-0.727706439019061,-0.198367744508152,0.926074183527213,"About right",0.727706439019061,0.198367744508152,0.0739258164727869
"Too much",30,"Male",23.3,"Middle atlantic","Extrmly conservative",-19,61,-0.709236618682211,-0.142833463394798,0.852070082077009,"About right",0.709236618682211,0.142833463394798,0.147929917922991
"Too little",29,"Male",32.6,"Middle atlantic","Slightly liberal",-20,62,-0.562464950473235,0.635704814233681,-0.0732398637604455,"About right",0.562464950473235,0.364295185766319,0.0732398637604455
"Too little",39,"Female",24.2,"Middle atlantic","Extrmly conservative",-10,63,-0.763217423614646,0.86833038389963,-0.105112960284985,"About right",0.763217423614646,0.13166961610037,0.105112960284985
"Too little",60,"Female",24.2,"Middle atlantic","Slghtly conservative",11,64,-0.629963941559468,0.736541525898511,-0.106577584339043,"About right",0.629963941559468,0.263458474101489,0.106577584339043
"Too much",74,"Female",0,"Middle atlantic","Moderate",25,65,-0.639775934836491,-0.232896948243649,0.872672883080139,"About right",0.639775934836491,0.232896948243649,0.127327116919861
"About right",57,"Female",73.2,"Middle atlantic","Moderate",8,66,0.400261071218945,-0.355076632307559,-0.0451844389113866,"About right",0.599738928781055,0.355076632307559,0.0451844389113866
"Too little",80,"Male",58.1,"Middle atlantic","Moderate",31,67,-0.510690813514304,0.616770303300367,-0.106079489786063,"About right",0.510690813514304,0.383229696699633,0.106079489786063
"About right",70,"Male",70.5,"Middle atlantic","Slghtly conservative",21,68,0.503368264953195,-0.398944922646818,-0.104423342306377,"About right",0.496631735046805,0.398944922646818,0.104423342306377
"Too little",35,"Female",84.2,"Middle atlantic","Slightly liberal",-14,69,-0.534782435060157,0.5613837063681,-0.0266012713079436,"About right",0.534782435060157,0.4386162936319,0.0266012713079436
"About right",49,"Female",0,"Middle atlantic","Liberal",0,70,0.450203059738261,-0.369826049177945,-0.0803770105603162,"About right",0.549796940261739,0.369826049177945,0.0803770105603162
"Too little",36,"Female",55.1,"Middle atlantic","Extremely liberal",-13,71,-0.431589601771684,0.488470184634374,-0.05688058286269,"Too little",0.431589601771684,0.511529815365626,0.05688058286269
"About right",37,"Female",72.7,"Middle atlantic","Extremely liberal",-12,72,0.597883923278578,-0.552758122200145,-0.0451258010784324,"Too little",0.402116076721422,0.552758122200145,0.0451258010784324
"About right",78,"Female",67.7,"Middle atlantic","Extremely liberal",29,73,0.656501558430772,-0.583661816720617,-0.0728397417101554,"Too little",0.343498441569228,0.583661816720617,0.0728397417101554
"About right",42,"Male",83.8,"Middle atlantic","Slightly liberal",-7,74,0.535968449396819,-0.492237195389262,-0.0437312540075566,"Too little",0.464031550603181,0.492237195389262,0.0437312540075566
"About right",35,"Female",32.6,"Middle atlantic","Slghtly conservative",-14,75,0.330007867955442,-0.257098423278272,-0.07290944467717,"About right",0.669992132044558,0.257098423278272,0.07290944467717
"Too little",33,"Male",65.1,"Middle atlantic","Slghtly conservative",-16,76,-0.573692807901275,0.648657513874346,-0.0749647059730705,"About right",0.573692807901275,0.351342486125654,0.0749647059730705
"About right",44,"Male",25.2,"Middle atlantic","Moderate",-5,77,0.387694836598665,-0.282287264542279,-0.105407572056386,"About right",0.612305163401335,0.282287264542279,0.105407572056386
"Too little",41,"Male",61.9,"Middle atlantic","Moderate",-8,78,-0.580331734808473,0.646765895124215,-0.0664341603157422,"About right",0.580331734808473,0.353234104875785,0.0664341603157422
"About right",52,"Male",55.3,"Middle atlantic","Moderate",3,79,0.432009395400923,-0.350740999817175,-0.0812683955837483,"About right",0.567990604599077,0.350740999817175,0.0812683955837483
"About right",45,"Female",81.9,"Middle atlantic","Moderate",-4,80,0.393244757847442,-0.357935489710449,-0.035309268136993,"About right",0.606755242152558,0.357935489710449,0.035309268136993
"About right",41,"Female",20.7,"Middle atlantic","Moderate",-8,81,0.311383848244421,-0.241819627723708,-0.0695642205207131,"About right",0.688616151755579,0.241819627723708,0.0695642205207131
"Too little",68,"Male",58.4,"Middle atlantic","Slightly liberal",19,82,-0.456608641840199,0.536976049312531,-0.080367407472332,"Too little",0.456608641840199,0.463023950687469,0.080367407472332
"Too little",57,"Female",24.2,"Middle atlantic","Moderate",8,83,-0.657343434038511,0.737974626770479,-0.0806311927319684,"About right",0.657343434038511,0.262025373229521,0.0806311927319684
"Too little",72,"Male",56.3,"Middle atlantic","Extremely liberal",23,84,-0.309750649913901,0.425020384375963,-0.115269734462063,"Too little",0.309750649913901,0.574979615624037,0.115269734462063
"Too little",50,"Male",86.6,"Middle atlantic","Slightly liberal",1,85,-0.445918219631537,0.491744495870508,-0.0458262762389713,"Too little",0.445918219631537,0.508255504129492,0.0458262762389713
"Too little",40,"Male",57.8,"Middle atlantic","Slightly liberal",-9,86,-0.508123633015314,0.568394605654219,-0.060270972638905,"About right",0.508123633015314,0.431605394345781,0.060270972638905
"Too little",58,"Male",60.1,"Middle atlantic","Extremely liberal",9,87,-0.327936592933445,0.42411599887082,-0.0961794059373746,"Too little",0.327936592933445,0.57588400112918,0.0961794059373746
"Too little",43,"Male",27.6,"Middle atlantic","Extremely liberal",-6,88,-0.390833314522789,0.518617783224283,-0.127784468701494,"Too little",0.390833314522789,0.481382216775717,0.127784468701494
"Too little",25,"Male",61.4,"Middle atlantic","Moderate",-24,89,-0.6094286248136,0.665195420549772,-0.0557667957361718,"About right",0.6094286248136,0.334804579450228,0.0557667957361718
"About right",33,"Male",92.8,"Middle atlantic","Slightly liberal",-16,90,0.535968451010484,-0.500813530852413,-0.0351549201580715,"Too little",0.464031548989516,0.500813530852413,0.0351549201580715
"About right",27,"Male",38.8,"Middle atlantic","Slightly liberal",-22,91,0.441827941828905,-0.37542186173659,-0.0664060800923154,"About right",0.558172058171095,0.37542186173659,0.0664060800923154
"About right",58,"Female",56.8,"Middle atlantic","Moderate",9,92,0.379575115792176,-0.323756491261583,-0.0558186245305929,"About right",0.620424884207824,0.323756491261583,0.0558186245305929
"About right",66,"Female",43,"Middle atlantic","Moderate",17,93,0.377371212442441,-0.305318980473176,-0.0720522319692648,"About right",0.622628787557559,0.305318980473176,0.0720522319692648
"Too little",66,"Male",28.7,"Middle atlantic","Moderate",17,94,-0.564728507579993,0.693354580411517,-0.128626072831523,"About right",0.564728507579993,0.306645419588483,0.128626072831523
"Too little",29,"Female",67.7,"Middle atlantic","Extremely liberal",-20,95,-0.423370405907784,0.467903537768323,-0.0445331318605394,"Too little",0.423370405907784,0.532096462231677,0.0445331318605394
"Too much",89,"Female",13.2,"Middle atlantic","Moderate",40,96,-0.602249752413662,-0.267477682422066,0.869727434835728,"About right",0.602249752413662,0.267477682422066,0.130272565164272
"About right",78,"Female",38.3,"Middle atlantic","Moderate",29,97,0.394773437950065,-0.307635483151967,-0.0871379547980981,"About right",0.605226562049935,0.307635483151967,0.0871379547980981
"Too little",52,"Female",26.1,"Middle atlantic","Slightly liberal",3,98,-0.594265319106206,0.66146059348471,-0.067195274378504,"About right",0.594265319106206,0.33853940651529,0.067195274378504
"Too little",50,"Male",32,"Middle atlantic","Moderate",1,99,-0.59499937048809,0.699309671581213,-0.104310301093122,"About right",0.59499937048809,0.300690328418787,0.104310301093122
"About right",25,"Female",41.8,"Middle atlantic","Conservative",-24,100,0.291881868396225,-0.20784700646101,-0.0840348619352152,"About right",0.708118131603775,0.20784700646101,0.0840348619352152
"Too little",37,"Male",37.6,"Middle atlantic","Slightly liberal",-12,101,-0.541328147024897,0.616529112880357,-0.0752009658554607,"About right",0.541328147024897,0.383470887119643,0.0752009658554607
"About right",54,"Female",76.3,"Middle atlantic","Moderate",5,102,0.399736366528898,-0.357728101950132,-0.0420082645787659,"About right",0.600263633471102,0.357728101950132,0.0420082645787659
"About right",52,"Male",28.5,"Middle atlantic","Moderate",3,103,0.40623171065203,-0.295320415453219,-0.110911295198811,"About right",0.59376828934797,0.295320415453219,0.110911295198811
"About right",48,"Male",24,"Middle atlantic","Moderate",-1,104,0.394832714363287,-0.283192923616101,-0.111639790747186,"About right",0.605167285636713,0.283192923616101,0.111639790747186
"About right",32,"Female",92.8,"Middle atlantic","Moderate",-17,105,0.389501152391149,-0.363035020512122,-0.0264661318790268,"About right",0.610498847608851,0.363035020512122,0.0264661318790268
"About right",29,"Female",60.3,"Middle atlantic","Liberal",-20,106,0.506913286586481,-0.477191571081566,-0.0297217155049156,"About right",0.493086713413519,0.477191571081566,0.0297217155049156
"Too little",75,"Female",54.1,"Middle atlantic","Slightly liberal",26,107,-0.515010355370581,0.576263947567662,-0.0612535921970809,"About right",0.515010355370581,0.423736052432338,0.0612535921970809
"Too little",59,"Female",83.4,"Middle atlantic","Extremely liberal",10,108,-0.350366243645395,0.398792015623912,-0.0484257719785172,"Too little",0.350366243645395,0.601207984376088,0.0484257719785172
"Too little",81,"Male",56.9,"Middle atlantic","Moderate",32,109,-0.509941723486846,0.618682372318297,-0.108740648831451,"About right",0.509941723486846,0.381317627681703,0.108740648831451
"About right",69,"Female",45.1,"Middle atlantic","Moderate",20,110,0.385126403170235,-0.312386352800037,-0.0727400503701979,"About right",0.614873596829765,0.312386352800037,0.0727400503701979
"Too little",55,"Female",82.5,"Middle atlantic","Slightly liberal",6,111,-0.504461275119898,0.53843750182572,-0.0339762267058216,"About right",0.504461275119898,0.46156249817428,0.0339762267058216
"Too much",52,"Female",25.7,"Middle atlantic","Moderate",3,112,-0.665006283265346,-0.260179023414779,0.925185306680125,"About right",0.665006283265346,0.260179023414779,0.0748146933198751
"About right",33,"Female",38.3,"Middle atlantic","Extrmly conservative",-16,113,0.228492856156874,-0.143740576420208,-0.0847522797366661,"About right",0.771507143843126,0.143740576420208,0.0847522797366661
"About right",56,"Male",67.7,"Middle atlantic","Moderate",7,114,0.45458614771204,-0.381540685330687,-0.0730454623813535,"About right",0.54541385228796,0.381540685330687,0.0730454623813535
"About right",71,"Male",80.9,"Middle atlantic","Slghtly conservative",22,115,0.517231699506781,-0.424380633772079,-0.0928510657347019,"About right",0.482768300493219,0.424380633772079,0.0928510657347019
"Too little",21,"Male",0,"Middle atlantic","Moderate",-28,116,-0.67309632585391,0.780230399380926,-0.107134073527015,"About right",0.67309632585391,0.219769600619074,0.107134073527015
"About right",49,"Female",46.5,"Middle atlantic","Moderate",0,117,0.35147015556293,-0.294638319072566,-0.056831836490364,"About right",0.64852984443707,0.294638319072566,0.056831836490364
"Too little",26,"Male",67.7,"Middle atlantic","Slghtly conservative",-23,118,-0.583348214123719,0.650549227535391,-0.0672010134116718,"About right",0.583348214123719,0.349450772464609,0.0672010134116718
"Too little",33,"Female",72.7,"Middle atlantic","Liberal",-16,119,-0.464523386178261,0.490732039149766,-0.0262086529715047,"Too little",0.464523386178261,0.509267960850234,0.0262086529715047
"Too little",36,"Male",39.7,"Middle atlantic","Slghtly conservative",-13,120,-0.593901601388903,0.698196663088323,-0.10429506169942,"About right",0.593901601388903,0.301803336911677,0.10429506169942
"About right",68,"Male",31.6,"Middle atlantic","Moderate",19,121,0.441483442455345,-0.314301662258758,-0.127181780196587,"About right",0.558516557544655,0.314301662258758,0.127181780196587
"About right",27,"Female",64.2,"Middle atlantic","Conservative",-22,122,0.312141650849674,-0.244919762880439,-0.0672218879692356,"About right",0.687858349150326,0.244919762880439,0.0672218879692356
"About right",60,"Female",52,"Middle atlantic","Moderate",11,123,0.377071017410267,-0.316579754368133,-0.0604912630421349,"About right",0.622928982589733,0.316579754368133,0.0604912630421349
"About right",48,"Male",38.2,"Middle atlantic","Moderate",-1,124,0.406520976687057,-0.311459675190417,-0.0950613014966403,"About right",0.593479023312943,0.311459675190417,0.0950613014966403
"About right",47,"Female",54.6,"Middle atlantic","Moderate",-2,125,0.35800914323525,-0.307569721659947,-0.050439421575303,"About right",0.64199085676475,0.307569721659947,0.050439421575303
"About right",36,"Female",37.8,"Middle atlantic","Slightly liberal",-13,126,0.393002665994111,-0.344409206292316,-0.0485934597017942,"About right",0.606997334005889,0.344409206292316,0.0485934597017942
"About right",89,"Female",38.3,"Middle atlantic","Moderate",40,127,0.416029920384308,-0.317621370962826,-0.0984085494214829,"About right",0.583970079615692,0.317621370962826,0.0984085494214829
"Too little",64,"Female",59.9,"New england","Conservative",15,128,-0.448712074702413,0.664874916603871,-0.216162841901457,"About right",0.448712074702413,0.335125083396129,0.216162841901457
"About right",38,"Female",38.8,"New england","Moderate",-11,129,0.477768723302129,-0.360347259497555,-0.117421463804574,"About right",0.522231276697871,0.360347259497555,0.117421463804574
"Too much",62,"Male",25.1,"New england","Slghtly conservative",13,130,-0.365489331663272,-0.335029473943506,0.700518805606778,"About right",0.365489331663272,0.335029473943506,0.299481194393222
"About right",62,"Female",82.5,"New england","Conservative",13,131,0.557382991579395,-0.391889964081552,-0.165493027497844,"About right",0.442617008420605,0.391889964081552,0.165493027497844
"Too much",65,"Female",42.9,"New england","Extremely liberal",16,132,-0.259930587423776,-0.577151235446982,0.837081822870757,"Too little",0.259930587423776,0.577151235446982,0.162918177129243
"Too little",60,"Male",67.7,"New england","Slghtly conservative",11,133,-0.357353298773274,0.543617455629103,-0.18626415685583,"Too little",0.357353298773274,0.456382544370897,0.18626415685583
"Too much",62,"Male",45.4,"New england","Extrmly conservative",13,134,-0.445820388785866,-0.226003702214007,0.671824090999873,"About right",0.445820388785866,0.226003702214007,0.328175909000127
"Too little",51,"Female",67.7,"Pacific","Liberal",2,135,-0.337774388755755,0.379824970420294,-0.0420505816645387,"Too little",0.337774388755755,0.620175029579706,0.0420505816645387
"About right",43,"Female",78.3,"Pacific","Slightly liberal",-6,136,0.579519370525243,-0.539161471926128,-0.0403578985991152,"Too little",0.420480629474757,0.539161471926128,0.0403578985991152
"Too little",47,"Male",43,"Pacific","Moderate",-2,137,-0.478334004034389,0.595186226008112,-0.116852221973723,"About right",0.478334004034389,0.404813773991888,0.116852221973723
"About right",57,"Female",67.7,"Pacific","Slghtly conservative",8,138,0.519486985417887,-0.437499485631001,-0.0819874997868859,"About right",0.480513014582113,0.437499485631001,0.0819874997868859
"Too little",30,"Male",59.1,"Pacific","Liberal",-19,139,-0.328710461286045,0.385063013310733,-0.056352552024688,"Too little",0.328710461286045,0.614936986689267,0.056352552024688
"Too little",39,"Male",52.3,"Pacific","Liberal",-10,140,-0.324642419138831,0.392376455760575,-0.067734036621744,"Too little",0.324642419138831,0.607623544239425,0.067734036621744
"Too little",37,"Female",61.4,"Pacific","Slightly liberal",-12,141,-0.458219362596558,0.505970313966769,-0.0477509513702107,"Too little",0.458219362596558,0.494029686033231,0.0477509513702107
"Too little",61,"Female",82.5,"Pacific","Liberal",12,142,-0.30080483989507,0.338098226893374,-0.037293386998304,"Too little",0.30080483989507,0.661901773106626,0.037293386998304
"About right",58,"Male",31.1,"Pacific","Moderate",9,143,0.533686756722059,-0.383598982608705,-0.150087774113354,"About right",0.466313243277941,0.383598982608705,0.150087774113354
"Too little",52,"Female",61.4,"Pacific","Moderate",3,144,-0.514751952637934,0.580637445744868,-0.0658854931069343,"About right",0.514751952637934,0.419362554255132,0.0658854931069343
"About right",46,"Female",0,"Pacific","Moderate",-3,145,0.409896014138386,-0.282225645926179,-0.127670368212207,"About right",0.590103985861614,0.282225645926179,0.127670368212207
"About right",25,"Female",65.3,"Pacific","Moderate",-24,146,0.443115362247618,-0.396520983250934,-0.0465943789966849,"About right",0.556884637752382,0.396520983250934,0.0465943789966849
"About right",54,"Male",31.2,"Pacific","Liberal",5,147,0.672146642101662,-0.567567872418731,-0.104578769682931,"Too little",0.327853357898338,0.567567872418731,0.104578769682931
"About right",33,"Female",46.6,"Pacific","Extrmly conservative",-16,148,0.322081912462811,-0.210808963361317,-0.111272949101493,"About right",0.677918087537189,0.210808963361317,0.111272949101493
"Too little",33,"Male",77,"Pacific","Slightly liberal",-16,149,-0.380702815764382,0.435472426309592,-0.0547696105452101,"Too little",0.380702815764382,0.564527573690408,0.0547696105452101
"Too little",61,"Female",19.6,"Pacific","Slightly liberal",12,150,-0.472938367881609,0.578237825151535,-0.105299457269926,"About right",0.472938367881609,0.421762174848465,0.105299457269926
"Too little",65,"Female",13.2,"Pacific","Slghtly conservative",16,151,-0.514145668987219,0.683300496055722,-0.169154827068503,"About right",0.514145668987219,0.316699503944278,0.169154827068503
"About right",66,"Female",0,"Pacific","Extrmly conservative",17,152,0.404735160713157,-0.155679129945262,-0.249056030767895,"About right",0.595264839286843,0.155679129945262,0.249056030767895
"Too little",57,"Female",73.6,"Pacific","Moderate",8,153,-0.488069847905089,0.547504295899774,-0.0594344479946843,"About right",0.488069847905089,0.452495704100226,0.0594344479946843
"Too little",50,"Male",28.5,"Pacific","Moderate",1,154,-0.485106399569457,0.628004226327739,-0.142897826758282,"About right",0.485106399569457,0.371995773672261,0.142897826758282
"Too much",75,"Male",38.3,"Pacific","Slghtly conservative",26,155,-0.399692510432733,-0.398506663612716,0.798199174045449,"About right",0.399692510432733,0.398506663612716,0.201800825954551
"Too much",22,"Female",21.6,"Pacific","Moderate",-27,156,-0.619196271461194,-0.304148356947977,0.923344628409171,"About right",0.619196271461194,0.304148356947977,0.0766553715908292
